PSU Readback Voltage,PSU Readback Current,PSU Voltage Set,Load Current Set,DMM Voltage Measured,key,Programming/Voltage Absolute Error (V),Relative/Voltage Percentage Error (%),PSU Readback Voltage Error (V),PSU Readback Voltage Percentage Error (%)
0.9999266,0.9993638,1.0,1.0,0.999894769,0,-0.00010523100000003893,-0.00010523100000003893,3.183100000003769e-05,3.183100000003769e-05
2.000071,0.9993638,2.0,1.0,2.00028303,0,0.0002830299999998509,0.0002830299999998509,-0.00021202999999969663,-0.00021202999999969663
2.998217,0.9993638,3.0,1.0,2.99886296,0,-0.0011370400000001446,-0.0011370400000001446,-0.0006459599999999455,-0.0006459599999999455
3.999412,0.9993638,4.0,1.0,3.99936934,0,-0.0006306600000001161,-0.0006306600000001161,4.266000000008319e-05,4.266000000008319e-05
4.999619,0.9993638,5.0,1.0,4.9998641,0,-0.00013590000000007763,-0.00013590000000007763,-0.0002450999999998871,-0.0002450999999998871
5.999847,0.9996893,6.0,1.0,6.00033002,0,0.0003300199999998199,0.0003300199999998199,-0.00048301999999988965,-0.00048301999999988965
6.998078,0.9993638,7.0,1.0,6.99894132,0,-0.0010586799999998675,-0.0010586799999998675,-0.0008633200000005559,-0.0008633200000005559
7.998348,0.9993638,8.0,1.0,7.99946173,0,-0.0005382699999998408,-0.0005382699999998408,-0.001113730000000146,-0.001113730000000146
8.999648,0.9996893,9.0,1.0,9.0000499,0,4.990000000049122e-05,4.990000000049122e-05,-0.00040189999999995507,-0.00040189999999995507
9.997941,0.9993638,10.0,1.0,9.99868377,0,-0.0013162300000004734,-0.0013162300000004734,-0.0007427699999986714,-0.0007427699999986714
10.99928,0.9993638,11.0,1.0,10.9992986,0,-0.0007014000000005183,-0.0007014000000005183,-1.859999999886952e-05,-1.859999999886952e-05
11.99964,0.9993638,12.0,1.0,11.9999577,0,-4.230000000049472e-05,-4.230000000049472e-05,-0.00031770000000008736,-0.00031770000000008736
13.00001,0.9993638,13.0,1.0,13.0008023,0,0.0008023000000001446,0.0008023000000001446,-0.0007923000000005231,-0.0007923000000005231
13.9994,0.9993638,14.0,1.0,13.9993944,0,-0.000605600000000095,-0.000605600000000095,5.5999999997169425e-06,5.5999999997169425e-06
14.99982,0.9993638,15.0,1.0,15.0000861,0,8.610000000075502e-05,8.610000000075502e-05,-0.00026610000000104606,-0.00026610000000104606
16.00026,0.9993638,16.0,1.0,16.0006928,0,0.0006927999999994938,0.0006927999999994938,-0.0004327999999986787,-0.0004327999999986787
16.9987,0.9993638,17.0,1.0,16.9993951,0,-0.0006048999999990201,-0.0006048999999990201,-0.0006951000000015028,-0.0006951000000015028
18.00019,0.9993638,18.0,1.0,17.9999993,0,-7.000000010748408e-07,-7.000000010748408e-07,0.0001907000000009873,0.0001907000000009873
19.00069,0.9993638,19.0,1.0,19.0005282,0,0.000528200000001533,0.000528200000001533,0.00016179999999721417,0.00016179999999721417
20.00121,0.9996893,20.0,1.0,20.0010255,0,0.0010255000000007897,0.0010255000000007897,0.00018449999999958777,0.00018449999999958777
20.99973,0.9996893,21.0,1.0,20.9996995,0,-0.00030050000000159116,-0.00030050000000159116,3.0500000001154604e-05,3.0500000001154604e-05
22.0003,0.9996893,22.0,1.0,22.0001668,0,0.00016679999999880124,0.00016679999999880124,0.00013320000000049959,0.00013320000000049959
23.00089,0.9996893,23.0,1.0,23.0007328,0,0.0007328000000015322,0.0007328000000015322,0.00015719999999674883,0.00015719999999674883
24.00048,0.9993638,24.0,1.0,23.9993785,0,-0.0006215000000011628,-0.0006215000000011628,0.0011015000000007547,0.0011015000000007547
25.00111,0.9996893,25.0,1.0,24.9999352,0,-6.48000000005311e-05,-6.48000000005311e-05,0.0011748000000011416,0.0011748000000011416
26.00176,0.9996893,26.0,1.0,26.0005122,0,0.0005121999999992966,0.0005121999999992966,0.0012478000000015754,0.0012478000000015754
27.00243,0.9996893,27.0,1.0,27.0011037,0,0.001103700000001595,0.001103700000001595,0.0013262999999987812,0.0013262999999987812
28.0011,0.9996893,28.0,1.0,27.9997363,0,-0.00026370000000142113,-0.00026370000000142113,0.0013637000000024102,0.0013637000000024102
29.00282,0.9996893,29.0,1.0,29.0003893,0,0.0003892999999983715,0.0003892999999983715,0.002430700000001451,0.002430700000001451
30.00355,0.9996893,30.0,1.0,30.0010706,0,0.0010705999999984783,0.0010705999999984783,0.00247940000000213,0.00247940000000213
31.00431,0.9996893,31.0,1.0,31.0016159,0,0.0016159000000008916,0.0016159000000008916,0.0026940999999993664,0.0026940999999993664
32.00407,0.9996893,32.0,1.0,32.0004971,0,0.0004970999999969195,0.0004970999999969195,0.0035729000000017663,0.0035729000000017663
1.000936,1.999119,1.0,2.0,1.00025704,1,0.00025703999999993066,0.00025703999999993066,0.0006789600000001172,0.0006789600000001172
2.00108,1.999444,2.0,2.0,2.00055566,1,0.0005556599999998468,0.0005556599999998468,0.000524340000000123,0.000524340000000123
2.999226,1.999119,3.0,2.0,2.99898946,1,-0.0010105399999997822,-0.0010105399999997822,0.0002365399999999518,0.0002365399999999518
3.999412,1.999444,4.0,2.0,3.99947411,1,-0.0005258900000000288,-0.0005258900000000288,-6.21100000000041e-05,-6.21100000000041e-05
4.999619,1.999444,5.0,2.0,4.99989814,1,-0.00010186000000000917,-0.00010186000000000917,-0.00027913999999995553,-0.00027913999999995553
